id,senderUsername,targetRole,status,title
257,"SYSTEM",USER,BROADCASTED,"Event Postponed"
258,"erenyeager",USER,BROADCASTED,"New Join Request"
259,"saadcaughtlackin",USER,BROADCASTED,"Request Approved"
260,"huzaifahayee",USER,BROADCASTED,"New Join Request"
261,"abdullahrecede",USER,BROADCASTED,"New Join Request"
262,"hassanashraf",USER,BROADCASTED,"New Join Request"
263,"kabeershahzaib",USER,BROADCASTED,"New Join Request"
264,"saadcaughtlackin",USER,BROADCASTED,"Request Approved"
265,"saadcaughtlackin",USER,BROADCASTED,"Request Approved"
266,"saadcaughtlackin",USER,BROADCASTED,"Request Approved"
267,"saadcaughtlackin",USER,BROADCASTED,"Request Approved"
268,"romeshaafzal",USER,BROADCASTED,"New Join Request"
269,"saadcaughtlackin",USER,BROADCASTED,"Request Approved"
270,"anasrashid",USER,BROADCASTED,"New Join Request"
271,"saadcaughtlackin",USER,BROADCASTED,"Request Approved"
272,"mogzammahmood",USER,BROADCASTED,"New Join Request"
273,"shehreyar",USER,BROADCASTED,"New Join Request"
274,"saadcaughtlackin",USER,BROADCASTED,"Request Approved"
275,"saadcaughtlackin",USER,BROADCASTED,"Request Approved"
276,"SYSTEM",USER,BROADCASTED,"Team Registered!"
277,"SYSTEM",USER,BROADCASTED,"Team Registered!"
278,"SYSTEM",USER,BROADCASTED,"Team Registered!"
279,"SYSTEM",USER,BROADCASTED,"Team Registered!"
280,"SYSTEM",USER,BROADCASTED,"Team Registered!"
281,"SYSTEM",USER,BROADCASTED,"Team Registered!"
282,"SYSTEM",USER,BROADCASTED,"Team Registered!"
283,"SYSTEM",USER,BROADCASTED,"Team Registered!"
284,"SYSTEM",USER,BROADCASTED,"Team Registered!"
285,"SYSTEM",USER,BROADCASTED,"Team Registered!"
286,"SYSTEM",USER,BROADCASTED,"Team Registered!"
289,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
290,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
291,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
292,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
293,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
294,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
295,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
296,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
297,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
298,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
299,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
300,"anasrashid",USER,BROADCASTED,"Kicked from Team"
301,"huzaifahayee",USER,BROADCASTED,"Kicked from Team"
302,"shehreyar",USER,BROADCASTED,"Kicked from Team"
303,"mogzammahmood",USER,BROADCASTED,"Kicked from Team"
304,"abdullahrecede",USER,BROADCASTED,"Kicked from Team"
305,"erenyeager",USER,BROADCASTED,"Kicked from Team"
306,"kabeershahzaib",USER,BROADCASTED,"Kicked from Team"
307,"hassanashraf",USER,BROADCASTED,"Kicked from Team"
308,"romeshaafzal",USER,BROADCASTED,"Kicked from Team"
309,"saadcaughtlackin",USER,BROADCASTED,"Team Invitation"
310,"muhammadanas",USER,BROADCASTED,"Invitation Accepted"
311,"muhammadanas",USER,BROADCASTED,"Kicked from Team"
321,"SYSTEM",USER,BROADCASTED,"Event Updated"
322,"SYSTEM",USER,BROADCASTED,"Event Resumed"
353,"guri__",USER,BROADCASTED,"Kicked from Team"
385,"saadcaughtlackin",USER,BROADCASTED,"Role Changed"
386,"saadcaughtlackin",USER,BROADCASTED,"Role Changed"
387,"saadcaughtlackin",USER,BROADCASTED,"Role Changed"
417,"saadcaughtlackin",USER,BROADCASTED,"Role Changed"
418,"saadcaughtlackin",USER,BROADCASTED,"Role Changed"
419,"saadcaughtlackin",USER,BROADCASTED,"Role Changed"
420,"saadcaughtlackin",USER,BROADCASTED,"Role Changed"
421,"saadcaughtlackin",USER,BROADCASTED,"Role Changed"
422,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
423,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
424,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
425,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
426,"SYSTEM",USER,BROADCASTED,"Event Updated"
427,"SYSTEM",USER,BROADCASTED,"Team Registered!"
428,"SYSTEM",USER,BROADCASTED,"Team Registered!"
429,"SYSTEM",USER,BROADCASTED,"Team Registered!"
430,"SYSTEM",USER,BROADCASTED,"Team Registered!"
431,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
432,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
433,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
434,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
435,"SYSTEM",USER,BROADCASTED,"Team Registered!"
436,"SYSTEM",USER,BROADCASTED,"Team Registered!"
437,"SYSTEM",USER,BROADCASTED,"Team Registered!"
438,"SYSTEM",USER,BROADCASTED,"Team Registered!"
439,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
440,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
441,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
442,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
443,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
444,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
445,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
446,"SYSTEM",USER,BROADCASTED,"Team Unregistered!"
